Date,Open,High,Low,Close,Adj Close,Volume,ma5,ma20,ema5,ema20,rsi6,rsi12,rsi24,mom6,mom12,mom24,roc,willr,trange
2010/4/30,18.75,22.389999,18.41,22.049999,22.049999,0,20.3699996,17.422,20.14942241,18.23413359,65.41600867,62.32396674,57.33942113,5.58,6.459999,4.279999,19.5769946,-14.93508897,3.979999
2010/5/3,22.41,22.41,19.610001,20.190001,20.190001,0,20.914,17.58050005,20.16294861,18.42040668,55.2489263,55.76622879,53.37416345,3.57,4.300001,2.600001,-8.435365462,-39.09090401,2.799999
2010/5/4,22.459999,25.700001,22.459999,23.84,23.84,0,21.1200002,17.96100005,21.38863241,18.93655842,67.23918415,63.89821258,59.1576824,6.370001,5.479999,6.710001,18.07825071,-18.23530213,5.51
2010/5/5,25.959999,27.23,23.75,24.91,24.91,0,21.8860002,18.3755,22.5624216,19.50545762,70.0610354,65.90286909,60.65073991,2.100001,7.57,7.32,4.488255034,-19.77834612,3.48
2010/5/6,25.879999,40.709999,24.43,32.799999,32.799999,0,24.7579998,19.19149995,25.9749474,20.77160442,83.01020577,76.43071302,69.28916167,11.719999,17.069999,15.33,31.67402248,-31.37643917,16.279999
2010/5/7,32.759998,42.150002,31.709999,40.950001,40.950001,0,28.5380002,20.43200005,30.96663194,22.69335647,88.9398461,82.51444789,75.16561636,22.51,24.630001,23.930001,24.84756783,-4.502817673,10.440003
2010/5/10,28.65,30.889999,25.68,28.84,28.84,0,30.268,21.09500005,30.25775462,23.2787511,54.82290979,58.1740308,57.96758314,6.790001,12.370001,12.61,-29.57265129,-49.94371858,15.270001
2010/5/11,31.040001,31.040001,25.860001,28.32,28.32,0,31.164,21.701,29.61183642,23.75887004,53.76029537,57.38113723,57.37933892,8.129999,11.699999,11.699999,-1.803051318,-53.13100833,5.18
2010/5/12,26.559999,26.67,24.98,25.52,25.52,0,31.286,22.1975,28.24789094,23.9265967,47.77665726,53.12760957,54.28417393,1.68,8.050001,9.04,-9.88700565,-63.88782697,3.34
2010/5/13,26.17,26.85,24.299999,26.68,26.68,0,30.0620002,22.737,27.72526063,24.18882559,50.51482463,54.64701781,55.3259326,1.77,3.870001,10.540001,4.545454545,-61.68261869,2.550001
2010/5/14,28.4,33.240002,28.4,31.24,31.24,0,28.12,23.38099995,28.89684042,24.86036601,60.32723845,60.18217909,59.14482872,-1.559999,10.16,15.66,17.09145427,-45.06402953,6.560002
2010/5/17,31.33,35.25,30.76,30.84,30.84,0,28.52,24.05599995,29.54456028,25.42985496,59.09379563,59.48742153,58.68563839,-10.110001,12.399999,14.639999,-1.280409731,-47.64111646,4.49
2010/5/18,28.67,34.169998,28.09,33.549999,33.549999,0,29.5659998,24.9469999,30.87970652,26.20320201,64.92425607,62.67230974,60.83526813,4.709999,11.5,17.959999,8.787285992,-36.22578886,6.079998
2010/5/19,34.650002,38.419998,33.07,35.32,35.32,0,31.5259998,25.8969999,32.35980435,27.07146849,68.44888943,64.65227996,62.17652461,7,15.129999,19.43,5.275711037,-28.77001443,5.349998
2010/5/20,41.790001,46.369999,40.299999,45.790001,45.790001,0,35.348,27.363,36.83653656,28.85418587,81.58440757,73.66603213,68.77665758,20.270001,21.950001,27.43,29.64326444,-2.167406739,11.049999
2010/5/21,47.66,48.200001,38.950001,40.099998,40.099998,0,37.1199996,28.53699985,37.92435704,29.92521559,64.16359952,63.99167689,62.58365378,13.419998,15.189998,22.759998,-12.42630023,-31.46854068,9.25
2010/5/24,41.740002,41.740002,35.57,38.32,38.32,0,38.6159996,29.5794999,38.05623803,30.72471887,59.40202438,61.24673428,60.79663048,7.08,5.520001,22.59,-4.438897977,-40.40900039,6.170002
2010/5/25,43.150002,43.740002,34.59,34.610001,34.610001,0,38.828,30.1695,36.90749235,31.09474574,50.10257032,55.80399069,57.24178943,3.770001,-6.34,18.290001,-9.681625783,-56.86191993,9.150002
2010/5/26,32.540001,35.02,24.1,35.02,35.02,0,38.768,30.8665,36.27832823,31.46857948,51.11741739,56.27246684,57.52816379,1.470001,6.18,18.550001,1.184625796,-54.68879856,10.92
2010/5/27,30.24,31.030001,29.540001,29.68,29.68,0,35.5459998,31.42849995,34.07888549,31.29823858,38.78763456,48.9066729,52.72859048,-5.64,1.36,13.059999,-15.24842947,-76.84647399,5.479999
2010/5/28,30.23,33.299999,29.530001,32.07,32.07,0,33.9400002,31.9295,33.40925699,31.37173966,45.80799818,51.97589353,54.50139263,-13.720001,6.55,14.600001,8.052560647,-66.92946195,3.769998
2010/6/1,34.869999,35.68,31.82,35.540001,35.540001,0,33.3840004,32.697,34.119505,31.76871693,54.83312709,56.14815972,56.94749831,-4.559997,8.860001,12.730002,10.82008419,-52.53111815,3.86
2010/6/2,34.389999,34.57,29.940001,30.17,30.17,0,32.4960002,33.0135,32.80300333,31.61645818,41.88054036,48.9662075,52.39841939,-8.15,-1.07,9.09,-15.1097379,-74.81327905,5.6
2010/6/3,29.65,31.200001,29.120001,29.459999,29.459999,0,31.384,33.24099995,31.68866855,31.41108111,40.36763205,48.07917979,51.82723692,-5.150002,-1.380001,11.019998,-2.353334438,-77.75934117,2.08
